maxDistance, totalDistance
226560.0	149088.0
271778.0	183343.0
198418.0	159852.0
281649.0	216160.0
216333.0	157685.0
243791.0	181704.0
188774.0	89342.0
206074.0	137158.0
231912.0	151608.0
260112.0	192634.0
249245.0	149120.0
244647.0	185570.0
223211.0	122252.0
174748.0	98707.0
186863.0	93600.0
249352.0	180296.0
218332.0	154700.0
165837.0	75949.0
100000.0	91004.0
185389.0	104615.0
171169.0	132537.0
270358.0	191426.0
156952.0	113230.0
246254.0	191994.0
236351.0	162453.0
247577.0	162444.0
231961.0	166147.0
185434.0	110569.0
100000.0	109899.0
167259.0	127548.0
220433.0	154366.0
227781.0	175449.0
253920.0	189022.0
231692.0	164703.0
100000.0	55114.0
169628.0	109882.0
223751.0	153578.0
136303.0	118554.0
269192.0	191457.0
244436.0	189239.0
192410.0	144972.0
232929.0	163749.0
221779.0	159877.0
100000.0	69623.0
237692.0	146576.0
208890.0	119322.0
100000.0	69097.0
217906.0	140923.0
196284.0	96543.0
175531.0	124687.0
229104.0	160555.0
160707.0	71602.0

breakDistanceCount: 0
totalCost: Optional[107641.48000000005]
totalDistance: Optional[7311524.0]
