0,21863,21864,738,139
1,21863,21865,3698,738
2,21863,21866,6271,1201
3,21863,21867,5852,1111
4,21863,21868,5502,1046
5,21863,21869,5189,1002
6,21863,21870,5189,1002
7,21863,21871,4975,980
8,21863,21872,6828,1232
9,21863,21873,8128,1287
10,21863,21874,8128,1287
11,21863,21875,9430,1411
12,21863,21876,19467,2840
13,21863,21877,8128,1287
14,21863,21878,16904,2349
15,21863,21879,10404,1801
16,21863,21880,9298,1590
17,21863,21881,8546,1575
18,21863,21882,12109,1772
19,21863,21883,12109,1772
20,21863,21884,12109,1772
21,21863,21885,12109,1772
22,21863,21886,12109,1772
23,21863,21887,14094,1979
24,21863,21888,13421,1903
25,21863,21889,10936,1533
26,21863,21890,6521,1132
27,21863,21891,6351,1149
28,21863,21892,10136,1483
29,21863,21893,10205,1483
30,21863,21894,8256,1351
31,21863,21895,13276,1967
32,21863,21896,13276,1967
33,21863,21897,12549,1827
34,21863,21898,12328,2019
35,21863,21899,13969,2313
36,21863,21900,11630,1880
37,21863,21901,10754,1728
38,21863,21902,9867,1556
39,21863,21903,10343,1625
40,21863,21904,10330,1649
41,21863,21905,13725,2231
42,21863,21906,13725,2231
43,21863,21907,14319,2074
44,21863,21908,14319,2074
45,21863,21909,14038,1727
46,21863,21910,15561,1892
47,21863,21911,16321,1888
48,21863,21912,16822,2055
49,21863,21913,17416,2013
50,21863,21914,27695,2481
51,21863,21915,24381,3041
52,21863,21916,22085,2714
53,21863,21917,22085,2714
54,21863,21918,21284,2559
55,21863,21919,21415,2585
56,21863,21920,25887,3347
57,21863,21921,25602,3283
58,21863,21922,26241,3409
59,21863,21923,21284,2559
60,21863,21924,13969,2313
61,21863,21925,14232,2364
62,21863,21926,13276,1967
63,21863,21927,12591,1688
64,21863,21928,11773,1868
65,21863,21929,6445,1254
66,21863,21930,6424,1245
67,21863,21931,6386,1140
68,21863,21932,6374,1097
69,21863,21933,7495,1223
70,21863,21934,7545,1396
71,21863,21935,7485,1274
72,21863,21936,6380,1101
73,21863,21937,4383,866
74,21863,21938,3547,701
75,21863,21939,1467,291
76,21863,21940,3408,665
77,21863,21941,5721,1100
78,21863,21942,5058,948
79,21863,21943,5745,1023
80,21863,21944,6875,1214
81,21863,21945,6596,1183
82,21863,21946,9671,1478
83,21863,21947,9976,1538
84,21863,21948,7321,1322
85,21863,21949,7321,1322
86,21863,21950,7659,1394
87,21863,21951,8235,1504
88,21863,21952,7876,1431
89,21863,21953,7657,1386
90,21863,21954,11577,1757
91,21863,21955,10994,1528
92,21863,21956,10681,1508
93,21863,21957,10384,1460
94,21863,21958,11873,1692
95,21863,21959,11479,1546
96,21863,21960,12591,1688
97,21863,21961,12826,1640
98,21863,21962,20111,2334
99,21863,21963,20913,2392
100,21863,21964,20848,2437
101,21863,21965,20913,2392
102,21863,21966,20960,2402
103,21863,21967,22748,2687
104,21863,21968,22748,2687
105,21863,21969,29085,3969
