id,lng,lat,route,order,weight
安全-安全新村,116.271068873086,27.9886057803299,3.0,11.0,0.288
安全-安全,116.268243004022,27.9880433848709,3.0,12.0,0.3732
白浒窑-庙前,116.261861714009,27.9816013326449,3.0,13.0,0.1851
中余-李榨,116.271422933506,28.0000837510178,3.0,14.0,0.063
中余-燕子窝,116.266701001824,28.000915476867,3.0,15.0,0.09
中余-中余,116.259203060776,28.0007554887104,3.0,16.0,0.246
中余-新中余,116.258587206553,28.0019973797854,3.0,17.0,0.045
中余-廖家,116.256194794175,28.0009210361405,3.0,18.0,0.045
翁坪-范家庄,116.248250427328,28.0005927625694,3.0,19.0,0.1482
翁坪-杨家坊,116.252524013706,27.9937252403514,3.0,20.0,0.0357
翁坪-下高,116.247872960271,27.993431780566,3.0,21.0,0.0666
翁坪-上高,116.244196179456,27.9950419358028,3.0,22.0,0.0387
翁坪-翁坪村,116.24181113016,27.9985710638435,3.0,23.0,0.05
翁坪-新张,116.238654653001,28.0021707259248,3.0,24.0,0.0603
下余-下余,116.24567031573,28.0105791910517,3.0,25.0,0.0402
占坊-谢家,116.250640764351,28.0167613264012,3.0,26.0,0.0618
占坊-詹坊,116.247815926953,28.0220193847716,3.0,27.0,0.0738
占坊-祝源,116.240252396517,28.020653345643,3.0,28.0,0.1422
展坪-尧李,116.251354134526,28.03653527255,3.0,29.0,0.0486
占坊-下山新村,116.254226085575,28.0211437279639,3.0,30.0,0.0954
马家-张坑,116.267044624834,28.0161483652097,3.0,31.0,0.0711
马家-黄泥塘,116.2824393435,28.0144892840646,3.0,32.0,0.0567
上源-上源,116.295367061715,28.0042033228363,3.0,33.0,0.033
庄家-厂下,116.31173588932,28.0049062359375,3.0,34.0,0.1299
西邓-曾家,116.325338194865,27.9775766650034,4.0,1.0,0.1437
西邓-店上,116.328686039986,27.9649469180745,4.0,2.0,0.0618
西邓-吴许,116.330358418437,27.9685820688842,4.0,3.0,0.087
