id,lng,lat,route,order,weight
湖墓-戴家组,116.45867600386,28.022181789898,3.0,7.0,0.0563
湖墓-吴家组,116.462360505821,28.0227005414438,3.0,8.0,0.0915
湖墓-湖墓组,116.46199994314,28.0179957374025,3.0,9.0,0.0563
湖墓-陈家组,116.46411013467,28.0176998123467,3.0,10.0,0.0575
湖墓-李家组,116.466938253826,28.0172849768624,3.0,11.0,0.0781
湖墓-坪上组,116.467418155347,28.0202681976925,3.0,12.0,0.1239
山口-刘家组,116.472898374543,28.0179335531964,3.0,13.0,0.1408
山口-曹家,116.474634775582,28.0167093960735,3.0,14.0,0.0744
山口-溪南组,116.478415066355,28.0152854042107,3.0,15.0,0.1287
山口-周家组,116.478689445026,28.0194835518429,3.0,16.0,0.1167
山口-李家组,116.480409647963,28.021913375389,3.0,17.0,0.0986
水口-吴家,116.483055288774,28.0233636488448,3.0,18.0,0.072
水口-水口组,116.487565146296,28.0192089504052,3.0,19.0,0.174
水口-戴家,116.492561351568,28.0234618824464,3.0,20.0,0.03
菩峰-毛源车家组,116.501237949645,28.0077049656154,3.0,21.0,0.0105
梅岗-蔡李,116.489788639296,28.0027288199386,3.0,22.0,0.0444
梅岗-上李,116.493934777596,27.9983597700638,3.0,23.0,0.0675
梅岗-杜韩组,116.496819019442,27.9959684337877,3.0,24.0,0.0804
梅岗-北岸组,116.495408819885,27.9931571192243,3.0,25.0,0.1095
梅岗-西岸,116.490152537702,27.9911393429918,3.0,26.0,0.105
梅岗-东岸,116.491999978023,27.9885757219768,3.0,27.0,0.144
梅岗-南岸,116.492574465255,27.9837912695472,3.0,28.0,0.0645
坪山-艾家,116.499167818411,27.9736718077439,3.0,29.0,0.045
坪山-赤谷,116.492780145266,27.968237775807,3.0,30.0,0.039
坪山-乐家,116.489437070292,27.9638234337478,3.0,31.0,0.0435
坪山-范家,116.485207337519,27.9607973293309,3.0,32.0,0.066
坪山-叶家组,116.482359341565,27.9621592274951,3.0,33.0,0.0468
坪山-车边,116.480944779231,27.9646906097228,3.0,34.0,0.027
坪山-坪山村,116.486049415462,27.9690426223722,3.0,35.0,0.075
坪山-何岭,116.479719413756,27.9750639650342,3.0,36.0,0.063
兰坊-前后车,116.464887223867,27.987191896842,3.0,37.0,0.066
杨源-下堡,116.472567114599,27.9935177171915,3.0,38.0,0.0733
杨源-谢家,116.470873813398,27.9987485122175,3.0,39.0,0.0709
杨源-杨家,116.471225414238,28.0051818872821,3.0,40.0,0.0817
杨源-后岗组,116.47195273139,28.0077995226975,3.0,41.0,0.0503
杨源-唐家,116.468530765433,28.0112351613827,3.0,42.0,0.0214
杨源-石溪组,116.462854717181,28.0102929844677,3.0,43.0,0.0443
杨源-三岗口,116.463040846746,28.004003228247,3.0,44.0,0.0588
兰坊-余坊,116.459282913101,27.9964252038028,3.0,45.0,0.09
兰坊-桥背,116.451453144485,27.9925057734967,3.0,46.0,0.0855
鹏溪-沙巷,116.446735916608,27.9872297681799,3.0,47.0,0.087
鹏溪-丁家,116.440672029995,27.9901179126117,3.0,48.0,0.096
鹏溪-下荣,116.4394442478,27.9925938882976,3.0,49.0,0.0534
春光-土皮,116.437569566164,27.9955174922034,3.0,50.0,0.0558
戴东-竹堑组,116.441200853662,27.9969774821822,3.0,51.0,0.0444
戴东-洪门组,116.446382471157,27.9961321523857,3.0,52.0,0.1095
戴东-源里组,116.444906509751,27.999585440227,3.0,53.0,0.0914
戴东-黄瑶组,116.439352566225,27.999805120174,3.0,54.0,0.0456
戴东-戴东,116.437633326614,28.0018350169512,3.0,55.0,0.083
万新-万坊组,116.437546683348,28.0293853984773,4.0,1.0,0.2132
万新-酉塘组,116.436356318602,28.0345862448035,4.0,2.0,0.1408
万新-排楼组,116.431588532443,28.0406654560142,4.0,3.0,0.1734
水溪-水溪一-五组,116.442284820277,28.046589698772,4.0,4.0,0.4062
上塘-中塘组,116.438144979639,28.0545601515515,4.0,5.0,0.1528
上塘-油榨组,116.441442209665,28.0548987579403,4.0,6.0,0.0334
涌桥-下涌桥组,116.4501122781,28.0554608409975,4.0,7.0,0.378
涌桥-上涌桥组,116.455492261809,28.056930293711,4.0,8.0,0.258
涌桥-孙家组,116.461416847037,28.0651190331953,4.0,9.0,0.117
水口-余家组,116.492436566892,28.0306560897505,4.0,10.0,0.126
水口-小杜组,116.496223259208,28.0255077398834,4.0,11.0,0.081
菩峰-箭楼组,116.505872690634,28.0234339768035,4.0,12.0,0.1119
菩峰-车家组,116.505074077445,28.0205137639607,4.0,13.0,0.0769
菩峰-下黄,116.503889285691,28.0191207692955,4.0,14.0,0.0685
菩峰-尧家组,116.505151392018,28.0178729618333,4.0,15.0,0.0479
菩峰-上黄,116.502309921706,28.0170100869683,4.0,16.0,0.0226
新殿-一-四组,116.472165895631,28.032686976427,4.0,17.0,0.354
流源-西华组,116.455670630141,28.0397718389591,4.0,18.0,0.1709
流源-光华组,116.456066105548,28.0432996477979,4.0,19.0,0.0986
流源-上华组,116.454048913465,28.0442105064227,4.0,20.0,0.0503
流源-东华组,116.453310179533,28.0478452563265,4.0,21.0,0.0841
流源-联华组,116.451946483371,28.0424838583786,4.0,22.0,0.183
东岗一-四组,116.448464175158,28.0356009967883,4.0,23.0,0.2714
封溪-万家,116.442250619891,28.0234306825285,4.0,24.0,0.0563
封溪-上戴一二,116.443781875167,28.0219745589157,4.0,25.0,0.113
封溪-下戴,116.443892388141,28.0191129529455,4.0,26.0,0.0684
新中-新中一-四组,116.467127485672,28.0730983084424,5.0,1.0,0.6255
涌桥-季家源,116.460076557009,28.0695436344017,5.0,2.0,0.201
涌桥-喻家源,116.449490282272,28.0652981373732,5.0,3.0,0.102
上塘-上塘组,116.432089559409,28.0511947558393,5.0,4.0,0.1589
沿岗村-高源,116.420929856917,28.0375166380323,5.0,5.0,0.1689
沿岗-孟加合,116.410595824082,28.0407855120974,5.0,6.0,0.0639
车家-山下组,116.405694393294,28.036381397341,5.0,7.0,0.114
车家-上艾组,116.407287055639,28.0313156684856,5.0,8.0,0.144
车家-车家村,116.402952945887,28.0322760972003,5.0,9.0,0.0504
车家-下艾组,116.39894179305,28.0360522634822,5.0,10.0,0.246
庙东-庙东村,116.390675108377,28.0296791968701,5.0,11.0,0.0516
庙东-庙西村,116.388708119708,28.0292159011946,5.0,12.0,0.0555
庙东-徐家村,116.39247433712,28.0273824844172,5.0,13.0,0.0384
庙东-港下村,116.391385008093,28.0257116513818,5.0,14.0,0.0363
沙湖-澄湖组,116.392361663886,28.0224571322885,5.0,15.0,0.0417
沙湖-坪上组,116.396813137214,28.0228358916796,5.0,16.0,0.0543
沙湖=山溪组,116.399230350857,28.0257712569589,5.0,17.0,0.0705
沙湖-周家组,116.401289372477,28.0238609867474,5.0,18.0,0.0486
沙湖-郑家组,116.400863715801,28.0208759739095,5.0,19.0,0.1122
沙湖-胥家组,116.395794759087,28.0187971463638,5.0,20.0,0.0729
沙湖-铺口组,116.393351460013,28.0166261310757,5.0,21.0,0.063
沙湖-李家组,116.392026682536,28.0146024002825,5.0,22.0,0.0381
孔桥-路溪,116.392314968853,28.0078957834807,5.0,23.0,0.0804
孔桥-杨巷,116.395669253477,28.008340344057,5.0,24.0,0.0906
孔桥-孔庄,116.396502627156,28.0107491937827,5.0,25.0,0.1188
加溪-下坪,116.404507869209,28.0085205813237,5.0,26.0,0.093
加溪-加溪村,116.406124781067,28.0124764868437,5.0,27.0,0.258
加溪-瑶溪,116.414014134817,28.008836233062,5.0,28.0,0.261
加溪-茶溪,116.409824685997,28.0159561500608,5.0,29.0,0.162
加溪-宋戴,116.412765616982,28.0181870085445,5.0,30.0,0.09
港东-载家边组,116.410377367781,28.0219816959168,5.0,31.0,0.0528
港东-李家组,116.413631500024,28.0227931651594,5.0,32.0,0.0238
港东-蔡艾组,116.417560115429,28.0234845197011,5.0,33.0,0.113
港东-万家组,116.422644532725,28.022974125203,5.0,34.0,0.0503
港东-车家源组,116.425109879723,28.023033305863,5.0,35.0,0.0359
湖北-上黄,116.417280167584,28.0019414566775,6.0,1.0,0.051
湖北-中黄,116.41497946149,28.0014029263693,6.0,2.0,0.0444
湖北-桥头,116.413647251213,27.9989307225665,6.0,3.0,0.0837
湖北-下黄,116.411756219478,27.9994865454639,6.0,4.0,0.0759
湖北-蔡家,116.410091717939,27.9983047111034,6.0,5.0,0.0471
湖北-刘家,116.408223798373,27.9975232434306,6.0,6.0,0.069
湖北-周家,116.407955511596,27.9959036518161,6.0,7.0,0.0261
店下-店下村,116.407031001204,27.9884763845061,6.0,8.0,0.39
瑶湖-万家组,116.401153978467,27.9867292182961,6.0,9.0,0.0486
瑶湖-下杨,116.398624008552,27.9836528635112,6.0,10.0,0.057
瑶湖-上杨,116.401858960831,27.9827146041441,6.0,11.0,0.0762
店下-高堑,116.413255737476,27.98248461217,6.0,12.0,0.294
竹溪-港湾组,116.417120932392,27.9764449260972,6.0,13.0,0.1236
竹溪-黄博,116.422684117675,27.9771329371095,6.0,14.0,0.0783
竹溪-全家,116.423816747726,27.9799460460103,6.0,15.0,0.1176
竹溪-周陈,116.428357951863,27.9758285139461,6.0,16.0,0.1578
湖田-詹家,116.432573443199,27.9677369683418,6.0,17.0,0.1161
湖田-油草湖,116.432653061767,27.9719440506325,6.0,18.0,0.12
鹏溪-上荣,116.436132063939,27.9830646663417,6.0,19.0,0.0297
鹏溪-黄家,116.43715792175,27.9869028048227,6.0,20.0,0.039
春光-傅家,116.431262572572,27.9847441873384,6.0,21.0,0.06
竹溪-周坊,116.430830186999,27.9824584252014,6.0,22.0,0.1719
春光-赵家,116.427787584312,27.9835476074668,6.0,23.0,0.072
春光-吴格,116.427837531694,27.9861575029183,6.0,24.0,0.087
店下-排柱村,116.417881233315,27.9873735315158,6.0,25.0,0.333
湖北-里杨,116.415323669582,27.9920400568485,6.0,26.0,0.2481
春光-湖南巷,116.4223431238,27.9946681799912,6.0,27.0,0.189
春光-洪埠,116.431308329904,27.9910636241061,6.0,28.0,0.105
春光-埂下,116.432871120944,27.9932340672258,6.0,29.0,0.033
春光-湖东,116.431513702616,27.9957025066972,6.0,30.0,0.189
春光-滴水,116.436330231667,27.9980032056718,6.0,31.0,0.042
戴东-江下组,116.434820307539,28.0033165276653,6.0,32.0,0.1674
孔桥-何桥,116.396592412089,28.0030020939302,7.0,1.0,0.0453
孔桥-孙家,116.394445819149,28.0044821656422,7.0,2.0,0.0606
孔桥-永红,116.39145975968,28.0070277634386,7.0,3.0,0.0474
孔桥-陈家,116.392578868021,28.0042902199322,7.0,4.0,0.1158
孔桥-车何,116.394302572655,28.0008573466715,7.0,5.0,0.0738
瑶湖-陈家组,116.39353272738,27.995922538947,7.0,6.0,0.0627
瑶湖-杨家边,116.393446759391,27.9924729033706,7.0,7.0,0.0786
瑶湖-瑶湖渡,116.396940008931,27.9885952554982,7.0,8.0,0.3036
瑶湖-王家组,116.395865639055,27.9948671700474,7.0,9.0,0.0414
