id,lng,lat,route,order,weight
四游-祠堂3组,116.516607129718,27.799507200138,3.0,4.0,0.0471
四游-文坊2组,116.512796335763,27.8006579246506,3.0,5.0,0.0549
四游-黄堂1组,116.508804984596,27.7967470582628,3.0,6.0,0.0993
桥下-打铁郑家,116.500843469407,27.8098887018396,3.0,7.0,0.0129
桥下-坪上游家,116.491231547991,27.8124760820603,3.0,8.0,0.0558
桥下-基桥吴家,116.493012140048,27.8062054971725,3.0,9.0,0.0678
石塘-龚家,116.494107495408,27.7972802116887,3.0,10.0,0.1275
石塘-全家,116.483386728585,27.7882194377525,3.0,11.0,0.012
新杨-张家,116.475748773114,27.7756281498528,3.0,12.0,0.04
下龚-撮斗科周家,116.465739703006,27.7898368842384,3.0,13.0,0.0204
下张-鹞源,116.447134074975,27.7956621286494,3.0,14.0,0.0756
下龚-上龚,116.4682005893,27.7928519285501,3.0,15.0,0.0786
下龚-中龚,116.470571636737,27.7956315628149,3.0,16.0,0.0591
下龚-下龚,116.470563085668,27.8002710121943,3.0,17.0,0.1086
下龚-汪家,116.471202141071,27.8075719971393,3.0,18.0,0.033
下龚-文加郄,116.471244874729,27.8116522391621,3.0,19.0,0.072
下龚-东坪王家,116.475111138658,27.8118350768595,3.0,20.0,0.0957
东馆-下山梁家,116.47109349553,27.820709611957,3.0,21.0,0.048
桥下-乌墩谢家,116.483045319819,27.8231264036523,3.0,22.0,0.1041
桥下-石泉饶家,116.493140828621,27.8238657305452,3.0,23.0,0.024
刘村-石前刘家,116.494443308744,27.832444481425,3.0,24.0,0.03
刘村-石前许家,116.490664534936,27.8368561694248,3.0,25.0,0.042
湖桥-黄水碓,116.512899003693,27.8333178224151,3.0,26.0,0.0288
刘村-桃李张家,116.518488559902,27.8443243318361,3.0,27.0,0.012
湖桥-谢湾,116.520072873754,27.8346971827095,3.0,28.0,0.0168
湖桥-里王村,116.523636090201,27.8261147026781,3.0,29.0,0.0924
湖桥-外王村,116.522847257724,27.8242855128187,3.0,30.0,0.0672
湖桥-张家玔,116.526986620229,27.8227445426584,3.0,31.0,0.033
湖桥-曾家村,116.525943072894,27.8282013008679,3.0,32.0,0.0492
兰溪-陈家村,116.534663132571,27.8361978358724,3.0,33.0,0.0294
兰溪-老周村,116.533623611147,27.8394413689689,3.0,34.0,0.105
兰溪-曾家,116.535349105711,27.8398792189144,3.0,35.0,0.0663
兰溪-新周6组,116.537997896595,27.8379707597959,3.0,36.0,0.153
兰溪-黄打石村,116.541044003088,27.8502435936784,3.0,37.0,0.0348
大塘-黄水碓,116.551032344426,27.845326012309,3.0,38.0,0.0783
大塘-大塘1,116.558124471337,27.836163763793,3.0,39.0,0.318
文家-南塘,116.567150945693,27.8270598690179,3.0,40.0,0.1173
高源-高源,116.576128341141,27.8127488846179,3.0,41.0,0.0747
文家-谢家村,116.558174571859,27.8212302918228,3.0,42.0,0.0297
文家-文家村,116.558052919531,27.8267224345292,3.0,43.0,0.0573
文家-邓溪村,116.549485595086,27.824152135765,3.0,44.0,0.0909
邓坊-邓坊1,116.538696616968,27.8158707596766,3.0,45.0,0.1158
邓坊-邓坊5组,116.536207129114,27.8138648003375,3.0,46.0,0.1509
邓坊-邓坊3组,116.534191425804,27.8154943799131,3.0,47.0,0.1245
荣坊-泉游组,116.533912711627,27.8111121989002,3.0,48.0,0.1254
荣坊-荣坊2组,116.534303243083,27.8033186311613,3.0,49.0,0.1086
荣坊-荣坊3组,116.534594794983,27.8013331977052,3.0,50.0,0.0858
荣坊-樟坊组,116.531131403796,27.7991810980657,3.0,51.0,0.0888
松岗-窠里,116.540934871171,27.7892124764376,3.0,52.0,0.0771
松岗-凰岗,116.541296235471,27.7883585644858,3.0,53.0,0.0741
黄道-鹏程,116.60282749927,27.837899235696,4.0,1.0,0.123
吴山-上曾,116.609936830192,27.839472642288,4.0,2.0,0.1485
吴家-吴梅,116.612696639091,27.8310471417587,4.0,3.0,0.1146
吴家-新吴,116.618498938698,27.8336017301296,4.0,4.0,0.1854
